,Tick,Second,AttackerSteamId,AttackerName,AttackerTeam,AttackerSide,AttackerX,AttackerY,AttackerZ,AttackerAreaId,AttackerAreaName,AttackerViewX,AttackerViewY,VictimSteamId,VictimName,VictimTeam,VictimSide,VictimX,VictimY,VictimZ,VictimAreaId,VictimAreaName,VictimViewX,VictimViewY,AssisterSteamId,AssisterName,AssisterTeam,AssisterSide,AssisterX,AssisterY,AssisterZ,AssisterAreaId,AssisterAreaName,IsWallbang,IsFlashed,IsHeadshot,IsTrade,PlayerTradedName,PlayerTradedTeam,PlayerTradedSteamId,IsFirstKill,Weapon,RoundNum,MatchId,MapName
12,23640,76.02362204724409,7.656119824660747e+16,b1t,NAVI,T,-2573.4541015625,382.73944091796875,-167.96875,49.0,Forest,328.8427734375,0.2142333984375,76561198064058958,junior,FURIA,CT,-1866.773193359375,-65.00935363769531,-166.680908203125,11,Back Left B Site From T's' Perspective,74.8992919921875,353.4906005859375,7.656119803420227e+16,s1mple,NAVI,T,-1598.9150390625,-726.6348876953125,-167.96885681152344,276.0,FrontYard,False,False,True,False,KSCERATO,FURIA,7.65611980585005e+16,False,AK-47,2,furia-vs-natus-vincere-m3-mirage,de_mirage
13,24399,82.0,7.656119803420227e+16,s1mple,NAVI,T,-2310.416259765625,-611.8883666992188,-167.96885681152344,22.0,market,114.3951416015625,12.6068115234375,76561198043769572,arT,FURIA,CT,-2330.241455078125,-565.8894653320312,-167.96875,22,market,93.5980224609375,358.9453125,,,,,,,,,,False,False,False,False,junior,FURIA,7.656119806405896e+16,False,Knife,2,furia-vs-natus-vincere-m3-mirage,de_mirage
14,24860,85.62992125984252,7.656119803420227e+16,s1mple,NAVI,T,-2352.30322265625,-327.9458312988281,-167.96885681152344,101.0,Inside Market Doors,59.3316650390625,4.2462158203125,76561198164970560,yuurih,FURIA,CT,-2176.0478515625,19.80672264099121,-167.96875,7,Close Market door,242.105712890625,3.460693359375,,,,,,,,,,False,False,False,False,arT,FURIA,7.656119804376957e+16,False,Galil AR,2,furia-vs-natus-vincere-m3-mirage,de_mirage
15,29593,12.070866141732283,7.656119804376957e+16,arT,FURIA,CT,-1184.6822509765625,-543.470947265625,-167.96875,1067.0,Right Side Snipers Nest,355.3692626953125,8.1134033203125,76561198246607476,b1t,NAVI,T,-266.79833984375,-611.380126953125,-253.96875,105,Top Mid,175.6109619140625,354.5672607421875,,,,,,,,,,False,True,False,False,,,,True,M4A1,3,furia-vs-natus-vincere-m3-mirage,de_mirage
16,30718,20.929133858267715,7.656119814620707e+16,Boombl4,NAVI,T,-624.3187255859375,-760.2921752929688,-261.96875,81.0,Mid Close Connector,279.2449951171875,344.1796875,76561198164970560,yuurih,FURIA,CT,-548.3706665039062,-1151.4912109375,-167.96875,140,Leftside Connector,108.9349365234375,11.93115234375,,,,,,,,,,False,False,True,False,b1t,NAVI,7.656119824660747e+16,False,AK-47,3,furia-vs-natus-vincere-m3-mirage,de_mirage
17,31128,24.15748031496063,7.65611980440451e+16,electronic,NAVI,T,8.21285343170166,-2096.729736328125,-35.96875,47.0,Top Balcony,196.171875,4.932861328125,76561198064058958,junior,FURIA,CT,-1082.9146728515625,-2381.972900390625,-121.12450408935547,56,Ticketbooth ,107.73193359375,32.5799560546875,7.656119803420227e+16,s1mple,NAVI,T,158.40463256835938,-1569.4853515625,-174.22003173828125,15.0,Back,False,False,False,False,yuurih,FURIA,7.656119816497056e+16,False,Galil AR,3,furia-vs-natus-vincere-m3-mirage,de_mirage
18,31423,26.480314960629922,7.656119814620707e+16,Boombl4,NAVI,T,-1149.166748046875,-739.7493896484375,-167.96875,285.0,Snipers Nest,254.9981689453125,1.91162109375,76561198043769572,arT,FURIA,CT,-1267.6629638671875,-1169.2027587890625,-167.96875,55,Snipers Palace Peek,76.739501953125,1.25244140625,7.656119812122048e+16,Perfecto,NAVI,T,-16.95873260498047,-2102.908203125,-37.96875,47.0,AbovePit,False,False,False,False,junior,FURIA,7.656119806405896e+16,False,AK-47,3,furia-vs-natus-vincere-m3-mirage,de_mirage
19,43461,22.921259842519685,7.656119814620707e+16,Boombl4,NAVI,T,-746.1040649414062,-0.6622734069824219,-143.96875,1459.0,Catwalk T Aparments Peek,147.15087890625,17.764892578125,76561198164970560,yuurih,FURIA,CT,-911.7457275390625,99.54914093017578,-169.77345275878906,1848,CT Deep Catwalk Mid peek,138.7298583984375,357.36328125,,,,,,,,,,False,False,False,False,,,,True,AK-47,4,furia-vs-natus-vincere-m3-mirage,de_mirage
20,43524,23.41732283464567,7.656119814620707e+16,Boombl4,NAVI,T,-745.09521484375,6.236650466918945,-143.96875,1447.0,Catwalk T Aparments Peek,155.3851318359375,18.720703125,76561197996370184,VINI,FURIA,CT,-936.4461669921875,108.40674591064453,-169.69537353515625,88,CT Catwalk,330.53466796875,359.351806640625,,,,,,,,,,False,False,True,False,yuurih,FURIA,7.656119816497056e+16,False,AK-47,4,furia-vs-natus-vincere-m3-mirage,de_mirage
21,45103,35.8503937007874,7.65611980440451e+16,electronic,NAVI,T,-167.95770263671875,-1609.0068359375,-167.96875,4.0,A Site,306.67236328125,346.3055419921875,76561198058500492,KSCERATO,FURIA,CT,136.2337646484375,-2009.2484130859375,-37.96875,65,Under balcony,98.5638427734375,53.470458984375,,,,,,,,,,False,False,True,False,VINI,FURIA,7.656119799637018e+16,False,AK-47,4,furia-vs-natus-vincere-m3-mirage,de_mirage
