,Tick,Second,AttackerSteamId,AttackerName,AttackerTeam,AttackerSide,AttackerX,AttackerY,AttackerZ,AttackerAreaId,AttackerAreaName,AttackerViewX,AttackerViewY,VictimSteamId,VictimName,VictimTeam,VictimSide,VictimX,VictimY,VictimZ,VictimAreaId,VictimAreaName,VictimViewX,VictimViewY,Weapon,HpDamage,HpDamageTaken,ArmorDamage,ArmorDamageTaken,HitGroup,RoundNum,MatchId,MapName
14,10145,50.669291338582674,7.65611980585005e+16,KSCERATO,FURIA,CT,-782.0557861328125,-2400.0517578125,-173.7391815185547,1299.0,Ticketbooth ,75.992431640625,359.8846435546875,76561198246607476,b1t,NAVI,T,-519.8612060546875,-1332.4625244140625,-159.96875,696,Bottom Stairs,255.95947265625,1.12060546875,USP-S,7,7,0,0,Chest,1,furia-vs-natus-vincere-m3-mirage,de_mirage
15,10241,51.425196850393704,7.656119816497056e+16,yuurih,FURIA,CT,-856.9911499023438,-2395.114501953125,-167.96875,1295.0,Ticketbooth ,71.729736328125,358.57177734375,76561198246607476,b1t,NAVI,T,-499.9302978515625,-1367.94970703125,-134.4038848876953,2504,Bottom Stairs,251.21337890625,2.1533203125,USP-S,28,28,0,0,RightArm,1,furia-vs-natus-vincere-m3-mirage,de_mirage
16,10289,51.803149606299215,7.65611980585005e+16,KSCERATO,FURIA,CT,-664.6614379882812,-2424.865234375,-167.96875,1720.0,Ticketbooth ,77.288818359375,357.3577880859375,76561198121220486,Perfecto,NAVI,T,-576.3322143554688,-1959.341064453125,-125.77616119384766,2,A Site Exposed to Stairs Connector Cat,211.04736328125,15.5291748046875,USP-S,6,6,3,3,Chest,1,furia-vs-natus-vincere-m3-mirage,de_mirage
17,10366,52.40944881889764,7.656119812122048e+16,Perfecto,NAVI,T,-659.0396118164062,-1976.738525390625,-179.96875,465.0,Triple Box,237.579345703125,0.06591796875,76561198164970560,yuurih,FURIA,CT,-889.909423828125,-2387.509521484375,-167.96875,1294,Ticketbooth ,60.1226806640625,1.702880859375,p250,22,15,6,6,Chest,1,furia-vs-natus-vincere-m3-mirage,de_mirage
18,10786,55.71653543307087,7.656119824660747e+16,b1t,NAVI,T,-518.3153076171875,-1341.306884765625,-155.71900939941406,696.0,Bottom Stairs,253.927001953125,1.2469482421875,76561198058500492,KSCERATO,FURIA,CT,-819.2871704101562,-2368.13134765625,-171.84841918945312,24,Ticketbooth ,73.7017822265625,358.8848876953125,p250,121,100,0,0,Head,1,furia-vs-natus-vincere-m3-mirage,de_mirage
19,15445,11.496062992125983,7.656119803420227e+16,s1mple,NAVI,T,469.1171569824219,-441.74493408203125,-159.97467041015625,196.0,Top Mid Left Side,189.2559814453125,0.6591796875,76561198064058958,junior,FURIA,CT,-1130.0068359375,-731.1019897460938,-167.96875,285,Snipers Nest,15.64453125,1.0986328125,SSG 08,82,82,0,0,Chest,2,furia-vs-natus-vincere-m3-mirage,de_mirage
20,18407,34.818897637795274,7.656119816497056e+16,yuurih,FURIA,CT,-1028.133544921875,-1305.0157470703125,-161.39674377441406,131.0,Deep Jungle,319.7406005859375,355.3802490234375,76561198044045107,electronic,NAVI,T,227.0284881591797,-2332.494384765625,-39.96875,263,Deep Palace,141.2017822265625,3.240966796875,USP-S,13,13,6,6,Chest,2,furia-vs-natus-vincere-m3-mirage,de_mirage
21,18724,37.31496062992126,7.656119804376957e+16,arT,FURIA,CT,249.33380126953125,-2295.07080078125,-39.96875,263.0,Deep Palace,53.6077880859375,6.2017822265625,76561198044045107,electronic,NAVI,T,339.82720947265625,-2159.457763671875,-39.96875,124,Deep Palace,243.5284423828125,6.5313720703125,Zeus x27,137,87,0,0,Generic,2,furia-vs-natus-vincere-m3-mirage,de_mirage
22,20246,49.2992125984252,7.656119804376957e+16,arT,FURIA,CT,-485.5369567871094,-2242.203369140625,-175.39662170410156,59.0,Default A,97.03125,359.6044921875,76561198246607476,b1t,NAVI,T,-737.03125,-16.038806915283203,-143.96875,1459,Catwalk T Aparments Peek,161.5155029296875,5.0921630859375,Galil AR,21,21,3,3,LeftArm,2,furia-vs-natus-vincere-m3-mirage,de_mirage
23,20509,51.37007874015748,7.656119804376957e+16,arT,FURIA,CT,-487.8869323730469,-2242.426513671875,-175.48126220703125,59.0,Default A,98.1573486328125,0.263671875,76561198034202275,s1mple,NAVI,T,-832.8283081054688,-122.68730926513672,-169.505859375,35,Deep Catwalk,278.7615966796875,0.41748046875,Galil AR,23,23,3,3,Head,2,furia-vs-natus-vincere-m3-mirage,de_mirage
24,21001,55.24409448818898,7.656119804376957e+16,arT,FURIA,CT,-462.6642761230469,-2291.5068359375,-169.99752807617188,237.0,Ninja,99.2779541015625,0.1318359375,76561198034202275,s1mple,NAVI,T,-816.7885131835938,-51.503726959228516,-169.46424865722656,35,Deep Catwalk,278.1683349609375,0.3900146484375,Galil AR,21,21,3,3,Chest,2,furia-vs-natus-vincere-m3-mirage,de_mirage
25,21054,55.661417322834644,7.656119804376957e+16,arT,FURIA,CT,-474.369140625,-2293.134521484375,-170.37306213378906,237.0,Ninja,98.6846923828125,0.46142578125,76561198034202275,s1mple,NAVI,T,-835.463134765625,-54.36282730102539,-168.9656524658203,35,Deep Catwalk,279.0966796875,0.7305908203125,Galil AR,21,21,3,3,Chest,2,furia-vs-natus-vincere-m3-mirage,de_mirage
26,21066,55.75590551181102,7.656119804376957e+16,arT,FURIA,CT,-473.9085693359375,-2293.061767578125,-170.37306213378906,237.0,Ninja,98.6846923828125,0.791015625,76561198034202275,s1mple,NAVI,T,-841.1117553710938,-55.248634338378906,-168.7744598388672,35,Deep Catwalk,279.0966796875,0.7305908203125,Galil AR,26,26,3,3,Stomach,2,furia-vs-natus-vincere-m3-mirage,de_mirage
27,21253,57.22834645669291,7.656119824660747e+16,b1t,NAVI,T,-932.3785400390625,224.47573852539062,-172.55284118652344,88.0,CT Catwalk,164.4818115234375,359.7857666015625,76561197996370184,VINI,FURIA,CT,-2116.9638671875,546.6508178710938,-161.82803344726562,204,Back B Site Peeking Apps/Plat,345.0311279296875,0.7196044921875,AK-47,42,42,0,0,Stomach,2,furia-vs-natus-vincere-m3-mirage,de_mirage
28,21279,57.43307086614173,7.656119824660747e+16,b1t,NAVI,T,-932.2326049804688,225.00587463378906,-172.5184326171875,1437.0,CT Deep Catwalk Mid peek,164.64111328125,1.8731689453125,76561197996370184,VINI,FURIA,CT,-2121.439208984375,529.8101806640625,-165.71875,204,Back B Site Peeking Apps/Plat,345.4705810546875,0.6591796875,AK-47,34,34,0,0,Chest,2,furia-vs-natus-vincere-m3-mirage,de_mirage
