Map,X,Y,Z
de_nuke,546.552978515625,-1722.679931640625,-415.9687805175781
de_nuke,755.1969604492188,-1658.7491455078125,-415.96881103515625
de_nuke,715.2867431640625,-1454.9923095703125,-415.96881103515625
de_nuke,1014.3041381835938,-1663.5914306640625,-415.9706115722656
de_nuke,352.2189025878906,-904.876708984375,-250.46875
de_nuke,340.8624267578125,-720.431396484375,-413.0082092285156
de_nuke,926.9241943359375,-1415.831298828125,-415.96875
de_nuke,766.1318969726562,-1417.1436767578125,-415.96875
de_nuke,766.0546875,-1449.09912109375,-415.96875
de_nuke,781.1077270507812,-1563.1015625,-415.96875
de_nuke,372.9233703613281,-1469.5374755859375,-415.96875
de_nuke,702.7200927734375,-628.8554077148438,-399.96875
de_nuke,937.6605224609375,-1868.771728515625,-415.97821044921875
de_nuke,1130.324462890625,-432.2458801269531,-639.96875
de_nuke,796.7459106445312,-325.1292419433594,-639.96875
de_nuke,478.7044677734375,-1834.6903076171875,-407.96923828125
de_nuke,813.1075439453125,-1590.4830322265625,-415.96923828125
de_nuke,765.8306274414062,-1739.2247314453125,-415.96923828125
de_nuke,119.70706176757812,-1322.160400390625,-775.96875
de_mirage,497.7579650878906,-514.0942993164062,-160.16505432128906
de_mirage,-707.8583984375,-801.2456665039062,-263.96875
de_mirage,-954.4683227539062,-398.97076416015625,-263.96875
de_mirage,385.7203369140625,-1572.4378662109375,-204.8252410888672
de_mirage,-407.565673828125,-1746.7283935546875,-169.38458251953125
de_mirage,460.8719787597656,-1520.0115966796875,-242.4116668701172
de_mirage,354.9265441894531,-1556.918701171875,-189.42835998535156
de_mirage,-806.712158203125,-788.9998168945312,-221.96875
de_mirage,-978.7274780273438,-1508.3150634765625,-167.96875
de_mirage,-1130.5894775390625,-717.172607421875,-167.96875
de_mirage,-156.36044311523438,-1926.1617431640625,-167.96875
de_inferno,1485.641845703125,923.1212158203125,145.8634796142578
de_inferno,1430.7333984375,782.9310913085938,137.37464904785156
de_inferno,1226.315673828125,587.8688354492188,122.03125
de_inferno,314.0699462890625,2521.0048828125,160.03125
de_inferno,2226.154052734375,907.94677734375,158.01515197753906
de_inferno,1378.8250732421875,104.51033782958984,128.03125
de_inferno,254.0233917236328,1852.7984619140625,125.54585266113281
de_inferno,836.3567504882812,2441.025146484375,141.3816680908203
de_inferno,1336.930419921875,398.19866943359375,129.03125
de_inferno,1948.5057373046875,231.63739013671875,160.03125
de_inferno,1474.4102783203125,324.9984436035156,133.3251953125
de_inferno,230.371337890625,2967.89697265625,205.91485595703125
de_inferno,171.68446350097656,2920.435791015625,160.03125
de_inferno,1034.172119140625,589.1129150390625,101.07257080078125
de_inferno,2067.0087890625,-215.30154418945312,85.03125
de_inferno,2120.66943359375,306.48687744140625,160.03125
de_inferno,1263.5028076171875,324.95916748046875,128.03125
de_inferno,139.66717529296875,518.8355712890625,67.81938934326172
de_inferno,531.4376831054688,-34.617828369140625,78.8209457397461
de_inferno,691.16943359375,2768.2119140625,133.81375122070312
de_inferno,580.7547607421875,2693.692138671875,160.03125
de_inferno,1356.3101806640625,-104.9334945678711,130.03125
de_inferno,1200.4908447265625,33.825714111328125,256.03125
de_inferno,1185.6668701171875,214.18072509765625,174.58370971679688
de_inferno,2464.111083984375,-241.40567016601562,87.03125
de_inferno,2540.578369140625,-287.4414978027344,87.03125
de_inferno,1850.5589599609375,1278.6044921875,160.03125
de_inferno,1832.3355712890625,1307.3787841796875,160.03125
de_inferno,-402.3581237792969,-75.61748504638672,192.03125
de_inferno,2630.67919921875,1158.242919921875,160.03125
de_inferno,1769.6390380859375,1620.839111328125,160.03125
de_inferno,965.4925537109375,2781.96875,127.99392700195312
de_inferno,753.6874389648438,3553.353759765625,144.9651336669922
de_inferno,489.56549072265625,2888.09423828125,160.02259826660156
de_inferno,1821.0003662109375,196.9681854248047,222.03125
de_inferno,1453.410888671875,-106.13568878173828,130.03125
de_inferno,984.03125,-38.88793182373047,256.03125
de_inferno,1185.0089111328125,232.35028076171875,162.47067260742188
de_inferno,807.320068359375,289.02520751953125,88.20657348632812
de_inferno,1266.338134765625,434.7337341308594,120.03086853027344
de_inferno,836.2113647460938,2715.951171875,129.98995971679688
de_inferno,817.2619018554688,2733.9697265625,128.3167724609375
de_inferno,1334.4149169921875,590.1342163085938,127.5895767211914
de_inferno,763.4820556640625,2841.9921875,125.23912048339844
de_inferno,751.785400390625,2760.08740234375,128.28465270996094
de_inferno,1948.7811279296875,-193.09405517578125,256.03125
de_inferno,740.3413696289062,2840.634033203125,125.92623901367188
de_inferno,1189.227294921875,352.0329895019531,128.03125
de_mirage,-1610.884033203125,-694.2113647460938,-167.96875
de_mirage,-650.4508666992188,-904.7493896484375,-231.59039306640625
de_mirage,-31.907020568847656,-1418.1929931640625,-167.96875
de_mirage,-12.348851203918457,-1418.0009765625,-168.33370971679688
de_mirage,925.1802368164062,-1045.687255859375,-261.0284729003906
de_mirage,-770.9255981445312,-541.6776123046875,-260.6082458496094
de_mirage,31.584741592407227,-2296.319580078125,-39.96875
de_mirage,145.57546997070312,-1931.2838134765625,-39.96875
de_mirage,-653.9212036132812,-646.1326293945312,-272.1542053222656
de_mirage,-646.39892578125,-629.9085083007812,-273.1506652832031
de_mirage,-338.0233459472656,-1694.0367431640625,-167.9831085205078
de_mirage,-118.6764907836914,-2216.32861328125,-167.9831085205078
de_mirage,-2008.6099853515625,775.4490356445312,-47.96875
de_mirage,-1275.5518798828125,-1380.2799072265625,-167.04173278808594
de_mirage,47.579429626464844,-2013.2698974609375,-35.96875
de_mirage,-73.3853530883789,-653.2564697265625,-212.842529296875
de_mirage,-806.0964965820312,-1039.6480712890625,-167.96875
de_mirage,-1016.3394165039062,-1484.878662109375,-167.8162841796875
de_mirage,-1114.3404541015625,-1462.0155029296875,-163.6630401611328
de_mirage,-1573.496337890625,133.80616760253906,-167.96875
