,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds,Percentage Damage Dealt,Percentage Kills,Percentage Deaths,Percentage Damage Taken
45,T Palace Stairs Peek,s1mple,1,1,0,100,100,0,T,295,0.0869414014953921,0.08045052292839903,0.06684491978609625,0.07681671531725304
46,Deep T Apps,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
47,Deep T Apps,s1mple,2,0,2,200,0,200,T,295,0.1738828029907842,0.16090104585679807,0.0,0.0
48,Catwalk Plant B Site,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
49,Catwalk Plant B Site,s1mple,1,1,0,100,100,0,T,295,0.0869414014953921,0.08045052292839903,0.06684491978609625,0.07681671531725304
50,Firebox,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
51,Firebox,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
52,Top STairs,s1mple,1,0,1,7,0,7,CT,295,0.0060858981046774474,0.08045052292839903,0.0,0.0
53,Top STairs,s1mple,1,0,1,100,0,100,T,295,0.0869414014953921,0.08045052292839903,0.0,0.0
54,Van Barrel Peek,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
55,Van Barrel Peek,s1mple,0,1,-1,0,48,-48,T,295,0.0,0.0,0.06684491978609625,0.03687202335228146
56,Deep Catwalk,s1mple,1,1,0,185,100,85,CT,295,0.1608415927664754,0.08045052292839903,0.06684491978609625,0.07681671531725304
57,Deep Catwalk,s1mple,3,0,3,271,0,271,T,295,0.2356111980525126,0.2413515687851971,0.0,0.0
58,Underpass,s1mple,0,1,-1,0,9,-9,CT,295,0.0,0.0,0.06684491978609625,0.006913504378552773
59,Underpass,s1mple,1,0,1,39,0,39,T,295,0.03390714658320292,0.08045052292839903,0.0,0.0
60,Leftside Connector,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
61,Leftside Connector,s1mple,1,0,1,100,0,100,T,295,0.0869414014953921,0.08045052292839903,0.0,0.0
62,Jungle Plant,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
63,Jungle Plant,s1mple,0,1,-1,0,37,-37,T,295,0.0,0.0,0.06684491978609625,0.02842218466738362
64,Catwalk Connector Peek,s1mple,2,1,1,200,100,100,CT,295,0.1738828029907842,0.16090104585679807,0.06684491978609625,0.07681671531725304
65,Catwalk Connector Peek,s1mple,1,1,0,100,11,89,T,295,0.0869414014953921,0.08045052292839903,0.06684491978609625,0.008449838684897834
66,Close Market door,s1mple,3,0,3,300,0,300,CT,295,0.2608242044861763,0.2413515687851971,0.0,0.0
67,Close Market door,s1mple,1,0,1,100,0,100,T,295,0.0869414014953921,0.08045052292839903,0.0,0.0
68,Bottom Connector,s1mple,1,0,1,8,0,8,CT,295,0.006955312119631369,0.08045052292839903,0.0,0.0
69,Bottom Connector,s1mple,1,0,1,26,0,26,T,295,0.02260476438880195,0.08045052292839903,0.0,0.0
70,Deep Jungle,s1mple,7,0,7,643,0,643,CT,295,0.5590332116153712,0.5631536604987932,0.0,0.0
71,Deep Jungle,s1mple,1,0,1,97,0,97,T,295,0.08433315945053034,0.08045052292839903,0.0,0.0
72,Tetris,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
73,Tetris,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
74,Left Side Platform,s1mple,2,0,2,200,0,200,CT,295,0.1738828029907842,0.16090104585679807,0.0,0.0
75,Left Side Platform,s1mple,1,0,1,57,0,57,T,295,0.0495565988523735,0.08045052292839903,0.0,0.0
76,Safe Plant B Site,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
77,Safe Plant B Site,s1mple,0,1,-1,0,92,-92,T,295,0.0,0.0,0.06684491978609625,0.0706713780918728
78,B site Market Plant,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
79,B site Market Plant,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
80,Deep CT,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
81,Deep CT,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
82,Ninja,s1mple,1,0,1,3,0,3,CT,295,0.0026082420448617634,0.08045052292839903,0.0,0.0
83,Ninja,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
84,Right Side Connector,s1mple,1,1,0,100,100,0,CT,295,0.0869414014953921,0.08045052292839903,0.06684491978609625,0.07681671531725304
85,Right Side Connector,s1mple,1,0,1,100,0,100,T,295,0.0869414014953921,0.08045052292839903,0.0,0.0
86,Left Side corner deep jungle,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
87,Left Side corner deep jungle,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
88,Stairs Palace Peek,s1mple,1,0,1,96,64,32,CT,295,0.08346374543557643,0.08045052292839903,0.0,0.049162697803041944
89,Stairs Palace Peek,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
90,Sandwhich,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
91,Sandwhich,s1mple,1,1,0,183,100,83,T,295,0.15910276473656754,0.08045052292839903,0.06684491978609625,0.07681671531725304
92,Back Left B Site From T's' Perspective,s1mple,3,0,3,209,0,209,CT,295,0.1817075291253695,0.2413515687851971,0.0,0.0
93,Back Left B Site From T's' Perspective,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
94,B Bombsite Cross to Catwalk,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
95,B Bombsite Cross to Catwalk,s1mple,1,1,0,100,100,0,T,295,0.0869414014953921,0.08045052292839903,0.06684491978609625,0.07681671531725304
96,Register Market,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
97,Register Market,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
98,Right Side Platform,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
99,Right Side Platform,s1mple,2,0,2,146,0,146,T,295,0.1269344461832725,0.16090104585679807,0.0,0.0
100,Top Mid towards Apps,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
101,Top Mid towards Apps,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
102,market,s1mple,4,0,4,366,0,366,CT,295,0.3182055294731351,0.32180209171359614,0.0,0.0
103,market,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
104,Balcony Boaxes,s1mple,1,0,1,100,0,100,CT,295,0.0869414014953921,0.08045052292839903,0.0,0.0
105,Balcony Boaxes,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
106,Murder Hole,s1mple,1,0,1,34,0,34,CT,295,0.029560076508433314,0.08045052292839903,0.0,0.0
107,Murder Hole,s1mple,1,1,0,100,58,42,T,295,0.0869414014953921,0.08045052292839903,0.06684491978609625,0.04455369488400676
108,T Spawn A Ramp,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
109,T Spawn A Ramp,s1mple,2,0,2,255,0,255,T,295,0.2217005738132499,0.16090104585679807,0.0,0.0
110,Arch,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
111,Arch,s1mple,1,0,1,84,0,84,T,295,0.07303077725612937,0.08045052292839903,0.0,0.0
112,Bench,s1mple,3,0,3,183,73,110,CT,295,0.15910276473656754,0.2413515687851971,0.0,0.05607620218159472
113,Bench,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
114,Top Mid,s1mple,1,0,1,100,0,100,CT,295,0.0869414014953921,0.08045052292839903,0.0,0.0
115,Top Mid,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
116,Chair,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
117,Chair,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
118,Back Right B Site from T's Perspective,s1mple,3,1,2,205,100,105,CT,295,0.17822987306555382,0.2413515687851971,0.06684491978609625,0.07681671531725304
119,Back Right B Site from T's Perspective,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
120,Back B Site Peeking Apps/Plat,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
121,Back B Site Peeking Apps/Plat,s1mple,3,0,3,375,0,375,T,295,0.32603025560772037,0.2413515687851971,0.0,0.0
122,Middle Bench,s1mple,0,0,0,98,0,98,CT,295,0.08520257346548427,0.0,0.0,0.0
123,Middle Bench,s1mple,0,0,0,0,0,0,T,295,0.0,0.0,0.0,0.0
124,T Spawn,s1mple,0,0,0,0,0,0,CT,295,0.0,0.0,0.0,0.0
125,T Spawn,s1mple,1,0,1,100,0,100,T,295,0.0869414014953921,0.08045052292839903,0.0,0.0
126,Ticketbooth ,junior,29,2,27,2232,200,2032,CT,350,1.9405320813771518,2.333065164923572,0.1336898395721925,0.15363343063450607
127,Ticketbooth ,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
128,A Ramp,junior,2,1,1,200,0,200,CT,350,0.1738828029907842,0.16090104585679807,0.06684491978609625,0.0
129,A Ramp,junior,3,4,-1,368,400,-32,T,350,0.31994435750304295,0.2413515687851971,0.267379679144385,0.30726686126901215
130,CT Side Apps,junior,5,1,4,421,116,305,CT,350,0.36602330029560076,0.4022526146419952,0.06684491978609625,0.08910738976801352
131,CT Side Apps,junior,2,3,-1,168,300,-132,T,350,0.14606155451225875,0.16090104585679807,0.2005347593582888,0.2304501459517591
132,Bottom Connector,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
133,Bottom Connector,junior,0,2,-2,0,144,-144,T,350,0.0,0.0,0.1336898395721925,0.11061607005684437
134,Top Balcony,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
135,Top Balcony,junior,6,2,4,600,116,484,T,350,0.5216484089723527,0.4827031375703942,0.1336898395721925,0.08910738976801352
136,Top Mid Left Side,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
137,Top Mid Left Side,junior,0,2,-2,0,200,-200,T,350,0.0,0.0,0.1336898395721925,0.15363343063450607
138,Catwalk Connector Peek,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
139,Catwalk Connector Peek,junior,1,0,1,100,0,100,T,350,0.0869414014953921,0.08045052292839903,0.0,0.0
140,Deep CT,junior,3,0,3,249,0,249,CT,350,0.21648408972352634,0.2413515687851971,0.0,0.0
141,Deep CT,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
142,Bottom Stairs,junior,3,1,2,273,100,173,CT,350,0.23735002608242045,0.2413515687851971,0.06684491978609625,0.07681671531725304
143,Bottom Stairs,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
144,A Site,junior,0,2,-2,0,199,-199,CT,350,0.0,0.0,0.1336898395721925,0.15286526348133353
145,A Site,junior,2,1,1,200,100,100,T,350,0.1738828029907842,0.16090104585679807,0.06684491978609625,0.07681671531725304
146,Close A Ramp,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
147,Close A Ramp,junior,0,2,-2,0,98,-98,T,350,0.0,0.0,0.1336898395721925,0.07528038101090798
148,Triple Box,junior,7,0,7,700,0,700,CT,350,0.6085898104677447,0.5631536604987932,0.0,0.0
149,Triple Box,junior,0,0,0,0,90,-90,T,350,0.0,0.0,0.0,0.06913504378552773
150,A Site Exposed to Stairs Connector Cat,junior,2,2,0,190,200,-10,CT,350,0.165188662841245,0.16090104585679807,0.1336898395721925,0.15363343063450607
151,A Site Exposed to Stairs Connector Cat,junior,0,0,0,0,59,-59,T,350,0.0,0.0,0.0,0.04532186203717929
152,CT Catwalk,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
153,CT Catwalk,junior,1,1,0,100,178,-78,T,350,0.0869414014953921,0.08045052292839903,0.06684491978609625,0.1367337532647104
154,Close Market door,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
155,Close Market door,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
156,Top STairs,junior,1,1,0,100,100,0,CT,350,0.0869414014953921,0.08045052292839903,0.06684491978609625,0.07681671531725304
157,Top STairs,junior,0,1,-1,0,100,-100,T,350,0.0,0.0,0.06684491978609625,0.07681671531725304
158,T Palace Stairs Peek,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
159,T Palace Stairs Peek,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
160,Deep Palace,junior,2,1,1,200,100,100,CT,350,0.1738828029907842,0.16090104585679807,0.06684491978609625,0.07681671531725304
161,Deep Palace,junior,1,0,1,100,0,100,T,350,0.0869414014953921,0.08045052292839903,0.0,0.0
162,Default A,junior,1,0,1,100,0,100,CT,350,0.0869414014953921,0.08045052292839903,0.0,0.0
163,Default A,junior,4,1,3,334,21,313,T,350,0.29038428099460967,0.32180209171359614,0.06684491978609625,0.016131510216623138
164,Deep Catwalk,junior,2,0,2,200,22,178,CT,350,0.1738828029907842,0.16090104585679807,0.0,0.016899677369795668
165,Deep Catwalk,junior,1,1,0,100,100,0,T,350,0.0869414014953921,0.08045052292839903,0.06684491978609625,0.07681671531725304
166,Sandwhich,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
167,Sandwhich,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
168,Top Mid,junior,3,0,3,309,0,309,CT,350,0.2686489306207616,0.2413515687851971,0.0,0.0
169,Top Mid,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
170,Underpass,junior,3,1,2,300,100,200,CT,350,0.2608242044861763,0.2413515687851971,0.06684491978609625,0.07681671531725304
171,Underpass,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
172,Snipers Nest,junior,1,1,0,100,44,56,CT,350,0.0869414014953921,0.08045052292839903,0.06684491978609625,0.033799354739591336
173,Snipers Nest,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
174,Right Side Connector,junior,3,2,1,361,200,161,CT,350,0.3138584593983655,0.2413515687851971,0.1336898395721925,0.15363343063450607
175,Right Side Connector,junior,0,0,0,70,83,-13,T,350,0.06085898104677448,0.0,0.0,0.06375787371332002
176,CT Left Side,junior,1,2,-1,100,200,-100,CT,350,0.0869414014953921,0.08045052292839903,0.1336898395721925,0.15363343063450607
177,CT Left Side,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
178,T Deep Apps Underpass/Apps Peek,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
179,T Deep Apps Underpass/Apps Peek,junior,1,0,1,100,0,100,T,350,0.0869414014953921,0.08045052292839903,0.0,0.0
180,Market Window Peek,junior,4,0,4,400,0,400,CT,350,0.3477656059815684,0.32180209171359614,0.0,0.0
181,Market Window Peek,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
182,Jungle Plant,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
183,Jungle Plant,junior,0,1,-1,0,77,-77,T,350,0.0,0.0,0.06684491978609625,0.05914887079428484
184,Tetris,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
185,Tetris,junior,0,1,-1,0,100,-100,T,350,0.0,0.0,0.06684491978609625,0.07681671531725304
186,Back B Site Peeking Apps/Plat,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
187,Back B Site Peeking Apps/Plat,junior,2,0,2,173,0,173,T,350,0.15040862458702836,0.16090104585679807,0.0,0.0
188,Close Left CT A Ramp,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
189,Close Left CT A Ramp,junior,2,0,2,199,0,199,T,350,0.1730133889758303,0.16090104585679807,0.0,0.0
190,T apps entrance close left,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
191,T apps entrance close left,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
192,Arch,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
193,Arch,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
194,Top Connector,junior,2,0,2,200,0,200,CT,350,0.1738828029907842,0.16090104585679807,0.0,0.0
195,Top Connector,junior,1,0,1,100,0,100,T,350,0.0869414014953921,0.08045052292839903,0.0,0.0
196,Snipers Palace Peek,junior,4,1,3,354,75,279,CT,350,0.307772561293688,0.32180209171359614,0.06684491978609625,0.05761253648793978
197,Snipers Palace Peek,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
198,Mid Close Connector,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
199,Mid Close Connector,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
200,Deep T Apps,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
201,Deep T Apps,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
202,market,junior,3,0,3,265,0,265,CT,350,0.23039471396278907,0.2413515687851971,0.0,0.0
203,market,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
204,Bench,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
205,Bench,junior,3,0,3,294,0,294,T,350,0.2556077203964528,0.2413515687851971,0.0,0.0
206,Left Side Platform,junior,1,0,1,100,35,65,CT,350,0.0869414014953921,0.08045052292839903,0.0,0.026885850361038563
207,Left Side Platform,junior,1,1,0,19,100,-81,T,350,0.016518866284124502,0.08045052292839903,0.06684491978609625,0.07681671531725304
208,Apartments Right CT Corner,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
209,Apartments Right CT Corner,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
210,Inside Market Doors,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
211,Inside Market Doors,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
212,B site Market Plant,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
213,B site Market Plant,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
214,CT Deep Catwalk Mid peek,junior,0,0,0,28,0,28,CT,350,0.02434359241870979,0.0,0.0,0.0
215,CT Deep Catwalk Mid peek,junior,0,0,0,73,0,73,T,350,0.06346722309163624,0.0,0.0,0.0
216,Connector behind box,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
217,Connector behind box,junior,0,1,-1,0,50,-50,T,350,0.0,0.0,0.06684491978609625,0.03840835765862652
218,Catwalk Plant B Site,junior,0,1,-1,0,100,-100,CT,350,0.0,0.0,0.06684491978609625,0.07681671531725304
219,Catwalk Plant B Site,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
220,T Spawn A Ramp,junior,0,0,0,37,0,37,CT,350,0.03216831855329508,0.0,0.0,0.0
221,T Spawn A Ramp,junior,1,0,1,100,0,100,T,350,0.0869414014953921,0.08045052292839903,0.0,0.0
222,Top Mid towards Apps,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
223,Top Mid towards Apps,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
224,Bench Closer To Jungle,junior,1,0,1,90,0,90,CT,350,0.0782472613458529,0.08045052292839903,0.0,0.0
225,Bench Closer To Jungle,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
226,Catwalk T Aparments Peek,junior,1,0,1,100,0,100,CT,350,0.0869414014953921,0.08045052292839903,0.0,0.0
227,Catwalk T Aparments Peek,junior,1,0,1,156,0,156,T,350,0.1356285863328117,0.08045052292839903,0.0,0.0
228,CT Spawn,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
229,CT Spawn,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
230,Back Left B Site From T's' Perspective,junior,1,0,1,100,63,37,CT,350,0.0869414014953921,0.08045052292839903,0.0,0.04839453064986941
231,Back Left B Site From T's' Perspective,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
232,Register Market,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
233,Register Market,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
234,Deep T Apps Underpass STairs,junior,2,0,2,200,0,200,CT,350,0.1738828029907842,0.16090104585679807,0.0,0.0
235,Deep T Apps Underpass STairs,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
236,T Spawn,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
237,T Spawn,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
238,Underneath B apps plat,junior,0,1,-1,0,30,-30,CT,350,0.0,0.0,0.06684491978609625,0.02304501459517591
239,Underneath B apps plat,junior,1,0,1,100,0,100,T,350,0.0869414014953921,0.08045052292839903,0.0,0.0
240,Under balcony,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
241,Under balcony,junior,0,0,0,0,0,0,T,350,0.0,0.0,0.0,0.0
242,Top Mid Catwalk,junior,0,0,0,0,0,0,CT,350,0.0,0.0,0.0,0.0
