,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Total Rounds,Percentage Kills,Percentage Deaths,Percentage Damage Taken,Percentage Damage Dealt
797,Underneath B apps plat,anarkez,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0
798,A Ramp,anarkez,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0
799,Catwalk Connector Peek,anarkez,1,0,1,100,0,100,23,0.18315018315018314,0.0,0.0,0.19962072063080147
800,Top Mid,anarkez,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0
801,Top Mid towards Apps,anarkez,0,1,-1,0,100,-100,23,0.0,0.13089005235602094,0.1541782300339192,0.0
802,Underpass,anarkez,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0
803,Top Mid Boxes Left Side Peek,anarkez,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0
804,Bottom Connector,buster,0,0,0,0,0,0,79,0.0,0.0,0.0,0.0
805,Mid Close Connector,buster,0,0,0,0,0,0,79,0.0,0.0,0.0,0.0
806,Deep T Apps,buster,0,0,0,0,0,0,79,0.0,0.0,0.0,0.0
807,CT Side Apps,buster,0,0,0,0,0,0,79,0.0,0.0,0.0,0.0
808,A Site Exposed to Stairs Connector Cat,buster,0,0,0,0,0,0,79,0.0,0.0,0.0,0.0
809,CT Catwalk,buster,2,0,2,202,0,202,79,0.3663003663003663,0.0,0.0,0.40323385567421893
810,B Bombsite Cross to Catwalk,buster,0,0,0,0,0,0,79,0.0,0.0,0.0,0.0
811,Left Side Platform,buster,0,0,0,0,0,0,79,0.0,0.0,0.0,0.0
812,Chair,buster,0,0,0,0,0,0,79,0.0,0.0,0.0,0.0
813,Default A,buster,0,0,0,0,0,0,79,0.0,0.0,0.0,0.0
814,Top Mid Left Side,JW,0,0,0,0,0,0,112,0.0,0.0,0.0,0.0
815,A Ramp,JW,0,1,-1,0,100,-100,112,0.0,0.13089005235602094,0.1541782300339192,0.0
816,Jungle Plant,JW,0,0,0,0,0,0,112,0.0,0.0,0.0,0.0
817,Bottom Stairs,JW,0,0,0,0,0,0,112,0.0,0.0,0.0,0.0
818,CT Deep Catwalk Mid peek,JW,0,0,0,0,0,0,112,0.0,0.0,0.0,0.0
819,Murder Hole,JW,0,1,-1,0,100,-100,112,0.0,0.13089005235602094,0.1541782300339192,0.0
820,Default A,JW,1,0,1,52,0,52,112,0.18315018315018314,0.0,0.0,0.10380277472801676
821,Mid Close Connector,JW,0,0,0,0,0,0,112,0.0,0.0,0.0,0.0
822,Arch,JW,0,0,0,0,0,0,112,0.0,0.0,0.0,0.0
823,Top STairs,JW,0,0,0,0,0,0,112,0.0,0.0,0.0,0.0
824,Close A Ramp,JW,1,1,0,100,20,80,112,0.18315018315018314,0.13089005235602094,0.03083564600678384,0.19962072063080147
825,CT Side Apps,JW,0,0,0,0,0,0,112,0.0,0.0,0.0,0.0
826,CT Catwalk,JW,0,1,-1,0,100,-100,112,0.0,0.13089005235602094,0.1541782300339192,0.0
827,Back B Site Peeking Apps/Plat,JW,0,0,0,0,0,0,112,0.0,0.0,0.0,0.0
828,CT Side Apps,farlig,1,1,0,100,11,89,24,0.18315018315018314,0.13089005235602094,0.016959605303731112,0.19962072063080147
829,Top Mid Left Side,farlig,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0
830,Top Mid towards Apps,farlig,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0
831,Catwalk Connector Peek,farlig,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0
832,B Site Default Plant,farlig,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0
833,T Deep Apps Underpass/Apps Peek,farlig,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0
834,Deep Palace,farlig,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0
835,Underpass,farlig,1,0,1,100,0,100,24,0.18315018315018314,0.0,0.0,0.19962072063080147
836,Arch,farlig,0,0,0,0,0,0,24,0.0,0.0,0.0,0.0
837,T Palace Stairs Peek,farlig,1,0,1,100,0,100,24,0.18315018315018314,0.0,0.0,0.19962072063080147
838,Top Mid Left Side,JUGi,0,0,0,0,0,0,91,0.0,0.0,0.0,0.0
839,A Ramp,JUGi,0,0,0,0,0,0,91,0.0,0.0,0.0,0.0
840,Deep T Apps,JUGi,0,0,0,0,0,0,91,0.0,0.0,0.0,0.0
841,Deep Catwalk,JUGi,0,1,-1,0,3,-3,91,0.0,0.13089005235602094,0.004625346901017576,0.0
842,Close Left CT A Ramp,JUGi,0,0,0,0,0,0,91,0.0,0.0,0.0,0.0
843,CT Side Apps,JUGi,0,1,-1,74,72,2,91,0.0,0.13089005235602094,0.11100832562442184,0.1477193332667931
844,B Site Default Plant,JUGi,0,0,0,0,0,0,91,0.0,0.0,0.0,0.0
845,Triple Box,JUGi,0,1,-1,45,43,2,91,0.0,0.13089005235602094,0.06629663891458526,0.08982932428386066
846,Arch,JUGi,0,1,-1,0,98,-98,91,0.0,0.13089005235602094,0.15109466543324082,0.0
847,Sandwhich,JUGi,0,0,0,0,0,0,91,0.0,0.0,0.0,0.0
848,Top Mid Left Side,k0nfig ,0,1,-1,0,100,-100,63,0.0,0.13089005235602094,0.1541782300339192,0.0
849,CT Catwalk,k0nfig ,0,0,0,0,0,0,63,0.0,0.0,0.0,0.0
850,Deep Palace,k0nfig ,1,0,1,100,0,100,63,0.18315018315018314,0.0,0.0,0.19962072063080147
851,Underneath B apps plat,k0nfig ,0,1,-1,0,43,-43,63,0.0,0.13089005235602094,0.06629663891458526,0.0
852,Bottom Stairs,k0nfig ,0,0,0,0,0,0,63,0.0,0.0,0.0,0.0
853,Top Mid,k0nfig ,0,1,-1,0,100,-100,63,0.0,0.13089005235602094,0.1541782300339192,0.0
854,Right Side Connector,k0nfig ,0,0,0,0,0,0,63,0.0,0.0,0.0,0.0
855,Catwalk Plant B Site,k0nfig ,0,0,0,0,0,0,63,0.0,0.0,0.0,0.0
856,Underpass,k0nfig ,0,0,0,0,0,0,63,0.0,0.0,0.0,0.0
857,Back B Site Peeking Apps/Plat,k1to,0,3,-3,0,300,-300,105,0.0,0.3926701570680628,0.46253469010175763,0.0
858,A Ramp,k1to,0,0,0,0,0,0,105,0.0,0.0,0.0,0.0
859,Top Balcony,k1to,0,2,-2,0,200,-200,105,0.0,0.2617801047120419,0.3083564600678384,0.0
860,Top Mid Left Side,k1to,0,2,-2,0,200,-200,105,0.0,0.2617801047120419,0.3083564600678384,0.0
861,CT Deep Catwalk Mid peek,k1to,0,1,-1,0,100,-100,105,0.0,0.13089005235602094,0.1541782300339192,0.0
862,Catwalk T Aparments Peek,k1to,0,1,-1,0,100,-100,105,0.0,0.13089005235602094,0.1541782300339192,0.0
863,B Site Default Plant,k1to,0,1,-1,0,87,-87,105,0.0,0.13089005235602094,0.1341350601295097,0.0
864,Leftside Connector,k1to,0,0,0,0,0,0,105,0.0,0.0,0.0,0.0
865,Snipers Palace Peek,k1to,0,1,-1,0,51,-51,105,0.0,0.13089005235602094,0.07863089731729879,0.0
866,Top Mid,k1to,0,0,0,0,0,0,105,0.0,0.0,0.0,0.0
867,Top Mid towards Apps,k1to,0,1,-1,0,100,-100,105,0.0,0.13089005235602094,0.1541782300339192,0.0
868,T Spawn towards Apps,k1to,0,1,-1,0,100,-100,105,0.0,0.13089005235602094,0.1541782300339192,0.0
869,Close A Ramp,k1to,0,1,-1,0,100,-100,105,0.0,0.13089005235602094,0.1541782300339192,0.0
870,Ticketbooth ,k1to,1,1,0,177,99,78,105,0.18315018315018314,0.13089005235602094,0.15263644773358,0.3533286755165186
871,Back Left B Site From T's' Perspective,k1to,0,1,-1,0,34,-34,105,0.0,0.13089005235602094,0.052420598211532526,0.0
872,Deep Palace,k1to,0,1,-1,0,100,-100,105,0.0,0.13089005235602094,0.1541782300339192,0.0
873,Default A,k1to,2,1,1,359,51,308,105,0.3663003663003663,0.13089005235602094,0.07863089731729879,0.7166383870645773
874,CT Catwalk,k1to,0,0,0,0,0,0,105,0.0,0.0,0.0,0.0
875,CT Side Apps,k1to,0,1,-1,0,100,-100,105,0.0,0.13089005235602094,0.1541782300339192,0.0
876,Close Left CT A Ramp,k1to,0,0,0,0,0,0,105,0.0,0.0,0.0,0.0
877,Chair,k1to,0,1,-1,0,64,-64,105,0.0,0.13089005235602094,0.09867406722170831,0.0
878,T Spawn A Ramp,mantuu,0,2,-2,0,183,-183,73,0.0,0.2617801047120419,0.2821461609620721,0.0
879,Right Side Connector,mantuu,0,1,-1,0,100,-100,73,0.0,0.13089005235602094,0.1541782300339192,0.0
880,Top Mid Left Side,mantuu,0,0,0,0,0,0,73,0.0,0.0,0.0,0.0
881,Catwalk T Aparments Peek,mantuu,0,1,-1,0,49,-49,73,0.0,0.13089005235602094,0.07554733271662041,0.0
882,Tetris,mantuu,0,0,0,0,0,0,73,0.0,0.0,0.0,0.0
883,A Ramp,mantuu,0,0,0,0,0,0,73,0.0,0.0,0.0,0.0
884,CT Catwalk,mantuu,0,0,0,0,0,0,73,0.0,0.0,0.0,0.0
885,Default A,mantuu,0,1,-1,0,100,-100,73,0.0,0.13089005235602094,0.1541782300339192,0.0
886,Mid Close Connector,mantuu,1,0,1,100,0,100,73,0.18315018315018314,0.0,0.0,0.19962072063080147
887,T Palace Stairs Peek,mantuu,0,0,0,0,0,0,73,0.0,0.0,0.0,0.0
888,Deep T Apps,mantuu,0,1,-1,0,50,-50,73,0.0,0.13089005235602094,0.0770891150169596,0.0
889,Close A Ramp,mantuu,0,0,0,0,0,0,73,0.0,0.0,0.0,0.0
890,T Deep Apps Underpass/Apps Peek,almazer,0,1,-1,0,78,-78,29,0.0,0.13089005235602094,0.12025901942645699,0.0
891,Top Mid Left Side,almazer,0,1,-1,0,100,-100,29,0.0,0.13089005235602094,0.1541782300339192,0.0
892,Deep T Apps,almazer,1,0,1,100,0,100,29,0.18315018315018314,0.0,0.0,0.19962072063080147
893,Ticketbooth ,almazer,0,1,-1,0,77,-77,29,0.0,0.13089005235602094,0.11871723712611779,0.0
894,Close Market door,almazer,1,0,1,100,0,100,29,0.18315018315018314,0.0,0.0,0.19962072063080147
895,CT Side Apps,almazer,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0
896,A Site Exposed to Stairs Connector Cat,almazer,0,1,-1,0,100,-100,29,0.0,0.13089005235602094,0.1541782300339192,0.0
897,CT Catwalk,almazer,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0
898,B Bombsite Cross to Catwalk,almazer,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0
899,Underneath B apps plat,almazer,0,1,-1,0,9,-9,29,0.0,0.13089005235602094,0.01387604070305273,0.0
900,Snipers Palace Peek,almazer,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0
901,Close A Ramp,almazer,0,1,-1,0,100,-100,29,0.0,0.13089005235602094,0.1541782300339192,0.0
902,Deep Palace,shox ,0,1,-1,0,100,-100,27,0.0,0.13089005235602094,0.1541782300339192,0.0
903,Top Mid Left Side,shox ,0,1,-1,0,100,-100,27,0.0,0.13089005235602094,0.1541782300339192,0.0
904,Catwalk T Aparments Peek,shox ,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0
905,A Ramp,shox ,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0
906,A Site Exposed to Stairs Connector Cat,shox ,1,0,1,84,0,84,27,0.18315018315018314,0.0,0.0,0.16768140532987325
907,Top Balcony,shox ,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0
908,Top Connector,shox ,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0
909,CT Side Apps,Stewie2K,0,0,0,0,0,0,78,0.0,0.0,0.0,0.0
910,Bottom Stairs,Stewie2K,0,2,-2,0,120,-120,78,0.0,0.2617801047120419,0.18501387604070307,0.0
911,Inside Market Doors,Stewie2K,0,1,-1,0,57,-57,78,0.0,0.13089005235602094,0.08788159111933395,0.0
912,CT Outside Market,Stewie2K,0,1,-1,0,25,-25,78,0.0,0.13089005235602094,0.0385445575084798,0.0
913,Deep T Apps,Stewie2K,0,1,-1,0,100,-100,78,0.0,0.13089005235602094,0.1541782300339192,0.0
914,T Palace Stairs Peek,Stewie2K,0,1,-1,0,100,-100,78,0.0,0.13089005235602094,0.1541782300339192,0.0
915,Top Mid Left Side,Stewie2K,0,0,0,0,84,-84,78,0.0,0.0,0.12950971322849214,0.0
916,Underpass,Stewie2K,0,1,-1,0,100,-100,78,0.0,0.13089005235602094,0.1541782300339192,0.0
917,Back Left B Site From T's' Perspective,Stewie2K,2,1,1,160,53,107,78,0.3663003663003663,0.13089005235602094,0.08171446191797718,0.31939315300928234
918,Deep Catwalk,Stewie2K,1,0,1,100,0,100,78,0.18315018315018314,0.0,0.0,0.19962072063080147
919,CT Catwalk,Stewie2K,1,1,0,76,79,-3,78,0.18315018315018314,0.13089005235602094,0.12180080172679618,0.15171174767940912
920,Right Side Connector,Stewie2K,0,0,0,0,0,0,78,0.0,0.0,0.0,0.0
921,Top Mid,Stewie2K,0,0,0,0,0,0,78,0.0,0.0,0.0,0.0
922,Right Side Platform,Stewie2K,0,0,0,0,0,0,78,0.0,0.0,0.0,0.0
923,Underneath B apps plat,slaxz-,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0
924,Left Side Platform,slaxz-,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0
925,Apartments Right CT Corner,slaxz-,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0
926,A Site Exposed to Stairs Connector Cat,slaxz-,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0
927,CT Catwalk,slaxz-,2,0,2,128,0,128,29,0.3663003663003663,0.0,0.0,0.2555145224074259
928,Top Mid Left Side,JACKZ,0,4,-4,0,400,-400,109,0.0,0.5235602094240838,0.6167129201356768,0.0
929,Deep T Apps Underpass STairs,JACKZ,0,1,-1,0,100,-100,109,0.0,0.13089005235602094,0.1541782300339192,0.0
930,Close A Ramp,JACKZ,0,2,-2,0,136,-136,109,0.0,0.2617801047120419,0.2096823928461301,0.0
931,Back Left B Site From T's' Perspective,JACKZ,0,1,-1,0,29,-29,109,0.0,0.13089005235602094,0.04471168670983657,0.0
932,Top Mid Catwalk,JACKZ,0,1,-1,0,100,-100,109,0.0,0.13089005235602094,0.1541782300339192,0.0
933,Top Mid,JACKZ,0,1,-1,0,184,-184,109,0.0,0.13089005235602094,0.28368794326241137,0.0
934,A Site,JACKZ,0,1,-1,0,92,-92,109,0.0,0.13089005235602094,0.14184397163120568,0.0
935,market,JACKZ,0,0,0,0,0,0,109,0.0,0.0,0.0,0.0
936,Catwalk Connector Peek,JACKZ,0,0,0,0,0,0,109,0.0,0.0,0.0,0.0
937,A Site Exposed to Stairs Connector Cat,JACKZ,0,1,-1,0,100,-100,109,0.0,0.13089005235602094,0.1541782300339192,0.0
938,Close Left CT A Ramp,JACKZ,0,0,0,0,0,0,109,0.0,0.0,0.0,0.0
939,Ticketbooth ,JACKZ,1,1,0,22,32,-10,109,0.18315018315018314,0.13089005235602094,0.049337033610854154,0.043916558538776324
940,Bottom Stairs,JACKZ,1,1,0,12,100,-88,109,0.18315018315018314,0.13089005235602094,0.1541782300339192,0.023954486475696177
941,Top Balcony,JACKZ,0,1,-1,0,73,-73,109,0.0,0.13089005235602094,0.11255010792476103,0.0
942,Default A,JACKZ,0,1,-1,0,95,-95,109,0.0,0.13089005235602094,0.14646931853222325,0.0
943,CT Deep Catwalk Mid peek,JACKZ,0,1,-1,0,100,-100,109,0.0,0.13089005235602094,0.1541782300339192,0.0
944,T Palace Stairs Peek,JACKZ,0,1,-1,0,100,-100,109,0.0,0.13089005235602094,0.1541782300339192,0.0
945,Left Side Platform,JACKZ,0,0,0,0,0,0,109,0.0,0.0,0.0,0.0
946,T Deep Apps Underpass/Apps Peek,JACKZ,0,0,0,0,0,0,109,0.0,0.0,0.0,0.0
947,Top Mid Boxes Right Side Peek,JACKZ,0,1,-1,0,100,-100,109,0.0,0.13089005235602094,0.1541782300339192,0.0
948,Top Connector,JACKZ,0,1,-1,0,100,-100,109,0.0,0.13089005235602094,0.1541782300339192,0.0
949,Connector behind box,SZPERO,0,1,-1,0,0,0,35,0.0,0.13089005235602094,0.0,0.0
950,Deep T Apps,SZPERO,0,0,0,0,0,0,35,0.0,0.0,0.0,0.0
951,Ticketbooth ,SZPERO,0,1,-1,0,79,-79,35,0.0,0.13089005235602094,0.12180080172679618,0.0
952,Bottom Stairs,SZPERO,0,0,0,0,0,0,35,0.0,0.0,0.0,0.0
953,Deep T Apps Underpass STairs,SZPERO,0,0,0,0,0,0,35,0.0,0.0,0.0,0.0
954,B Bombsite Cross to Catwalk,SZPERO,0,1,-1,0,4,-4,35,0.0,0.13089005235602094,0.006167129201356769,0.0
955,Deep Jungle,SZPERO,0,0,0,0,0,0,35,0.0,0.0,0.0,0.0
956,T Palace Stairs Peek,SZPERO,0,0,0,0,0,0,35,0.0,0.0,0.0,0.0
957,Deep Catwalk,saffee,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0
958,Snipers Palace Peek,saffee,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
959,A Site Exposed to Stairs Connector Cat,saffee,0,1,-1,0,73,-73,28,0.0,0.13089005235602094,0.11255010792476103,0.0
960,Default A,saffee,0,0,0,0,89,-89,28,0.0,0.0,0.13721862473018812,0.0
961,CT Deep Catwalk Mid peek,saffee,0,0,0,59,0,59,28,0.0,0.0,0.0,0.11777622517217287
962,Underpass,saffee,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0
963,Top Balcony,saffee,0,1,-1,0,100,-100,28,0.0,0.13089005235602094,0.1541782300339192,0.0
964,Catwalk T Aparments Peek,saffee,0,0,0,0,0,0,28,0.0,0.0,0.0,0.0
965,A Ramp,magixx,0,3,-3,0,300,-300,78,0.0,0.3926701570680628,0.46253469010175763,0.0
966,Deep T Apps,magixx,0,1,-1,0,28,-28,78,0.0,0.13089005235602094,0.043169904409497376,0.0
967,Top Balcony,magixx,0,2,-2,0,173,-173,78,0.0,0.2617801047120419,0.26672833795868023,0.0
968,A Site,magixx,0,1,-1,0,50,-50,78,0.0,0.13089005235602094,0.0770891150169596,0.0
969,Deep T Spawn T Ramp,magixx,0,1,-1,0,91,-91,78,0.0,0.13089005235602094,0.1403021893308665,0.0
970,Tetris,magixx,0,1,-1,0,100,-100,78,0.0,0.13089005235602094,0.1541782300339192,0.0
971,Catwalk Connector Peek,magixx,0,1,-1,0,12,-12,78,0.0,0.13089005235602094,0.018501387604070305,0.0
972,Close Market door,magixx,1,1,0,44,76,-32,78,0.18315018315018314,0.13089005235602094,0.11717545482577861,0.08783311707755265
973,T Deep Apps Underpass/Apps Peek,magixx,0,1,-1,0,91,-91,78,0.0,0.13089005235602094,0.1403021893308665,0.0
974,B Site Default Plant,magixx,0,1,-1,0,56,-56,78,0.0,0.13089005235602094,0.08633980881899475,0.0
975,Sandwhich,magixx,0,1,-1,0,55,-55,78,0.0,0.13089005235602094,0.08479802651865556,0.0
976,Triple Box,magixx,0,1,-1,0,100,-100,78,0.0,0.13089005235602094,0.1541782300339192,0.0
977,Arch,magixx,0,0,0,0,0,0,78,0.0,0.0,0.0,0.0
978,Market Window Peek,magixx,0,1,-1,0,97,-97,78,0.0,0.13089005235602094,0.14955288313290163,0.0
979,CT Deep Catwalk Mid peek,magixx,0,0,0,0,0,0,78,0.0,0.0,0.0,0.0
980,Catwalk Plant B Site,magixx,0,1,-1,0,12,-12,78,0.0,0.13089005235602094,0.018501387604070305,0.0
981,Left Side Platform,magixx,3,0,3,300,0,300,78,0.5494505494505495,0.0,0.0,0.5988621618924045
982,Chair,magixx,0,0,0,0,0,0,78,0.0,0.0,0.0,0.0
983,CT Deep Catwalk Mid peek,Snappi,1,0,1,100,0,100,21,0.18315018315018314,0.0,0.0,0.19962072063080147
984,Bottom Connector,Snappi,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0
985,CT Side Apps,Snappi,0,1,-1,0,14,-14,21,0.0,0.13089005235602094,0.021584952204748688,0.0
986,CT Catwalk,Snappi,1,0,1,100,0,100,21,0.18315018315018314,0.0,0.0,0.19962072063080147
987,Catwalk Connector Peek,Snappi,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0
988,Bench,Snappi,2,0,2,179,0,179,21,0.3663003663003663,0.0,0.0,0.35732108992913464
989,Top Mid Left Side,chelo,0,3,-3,0,287,-287,48,0.0,0.3926701570680628,0.4424915201973481,0.0
990,A Ramp,chelo,1,1,0,129,90,39,48,0.18315018315018314,0.13089005235602094,0.13876040703052728,0.2575107296137339
991,Catwalk Connector Peek,chelo,0,0,0,0,0,0,48,0.0,0.0,0.0,0.0
992,Catwalk T Aparments Peek,chelo,0,0,0,0,0,0,48,0.0,0.0,0.0,0.0
993,Ticketbooth ,chelo,2,1,1,19,84,-65,48,0.3663003663003663,0.13089005235602094,0.12950971322849214,0.03792793691985228
994,Balcony Boaxes,chelo,0,1,-1,0,74,-74,48,0.0,0.13089005235602094,0.1140918902251002,0.0
995,Chair,chelo,0,1,-1,0,51,-51,48,0.0,0.13089005235602094,0.07863089731729879,0.0
996,Triple Box,chelo,0,1,-1,0,47,-47,48,0.0,0.13089005235602094,0.07246376811594203,0.0
997,Arch,chelo,0,1,-1,0,97,-97,48,0.0,0.13089005235602094,0.14955288313290163,0.0
998,Deep Catwalk,chelo,0,0,0,84,0,84,48,0.0,0.0,0.0,0.16768140532987325
999,Bottom Connector,chelo,0,1,-1,0,74,-74,48,0.0,0.13089005235602094,0.1140918902251002,0.0
1000,Snipers Palace Peek,chelo,0,1,-1,0,88,-88,48,0.0,0.13089005235602094,0.1356768424298489,0.0
1001,Back B Site Peeking Apps/Plat,chelo,0,1,-1,0,100,-100,48,0.0,0.13089005235602094,0.1541782300339192,0.0
1002,T Palace Stairs Peek,chelo,0,1,-1,0,29,-29,48,0.0,0.13089005235602094,0.04471168670983657,0.0
1003,Top Mid Left Side,kalinka,0,1,-1,0,100,-100,23,0.0,0.13089005235602094,0.1541782300339192,0.0
1004,Top Mid towards Apps,kalinka,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0
1005,Top Mid,kalinka,0,1,-1,0,98,-98,23,0.0,0.13089005235602094,0.15109466543324082,0.0
1006,Bench,kalinka,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0
1007,Deep T Apps,kalinka,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0
1008,Left Side Platform,kalinka,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0
1009,Back B Site Peeking Apps/Plat,kalinka,0,0,0,0,0,0,23,0.0,0.0,0.0,0.0
1010,Bottom Connector,kalinka,0,1,-1,0,33,-33,23,0.0,0.13089005235602094,0.050878815911193344,0.0
1011,T Deep Apps Underpass/Apps Peek,stanislaw,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0
1012,Inside Market Doors,stanislaw,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0
1013,Bottom Connector,stanislaw,0,1,-1,0,100,-100,21,0.0,0.13089005235602094,0.1541782300339192,0.0
1014,CT Side Apps,stanislaw,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0
1015,Top Mid Left Side,stanislaw,0,1,-1,0,100,-100,21,0.0,0.13089005235602094,0.1541782300339192,0.0
1016,Deep T Apps,stanislaw,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0
1017,Deep T Apps,KSCERATO,0,3,-3,0,277,-277,83,0.0,0.3926701570680628,0.42707369719395627,0.0
1018,CT Side Apps,KSCERATO,0,1,-1,0,183,-183,83,0.0,0.13089005235602094,0.2821461609620721,0.0
1019,Close A Ramp,KSCERATO,0,2,-2,0,200,-200,83,0.0,0.2617801047120419,0.3083564600678384,0.0
1020,Top Mid Left Side,KSCERATO,0,1,-1,0,100,-100,83,0.0,0.13089005235602094,0.1541782300339192,0.0
1021,Close Left CT A Ramp,KSCERATO,0,1,-1,0,68,-68,83,0.0,0.13089005235602094,0.10484119642306505,0.0
1022,Apartments Right CT Corner,KSCERATO,0,1,-1,0,100,-100,83,0.0,0.13089005235602094,0.1541782300339192,0.0
1023,Right Side Connector,KSCERATO,0,1,-1,0,100,-100,83,0.0,0.13089005235602094,0.1541782300339192,0.0
1024,Underneath B apps plat,KSCERATO,0,1,-1,0,78,-78,83,0.0,0.13089005235602094,0.12025901942645699,0.0
1025,Firebox,KSCERATO,0,0,0,0,0,0,83,0.0,0.0,0.0,0.0
1026,Snipers Palace Peek,KSCERATO,0,1,-1,0,100,-100,83,0.0,0.13089005235602094,0.1541782300339192,0.0
1027,Bottom Connector,KSCERATO,0,1,-1,0,100,-100,83,0.0,0.13089005235602094,0.1541782300339192,0.0
1028,Inside Market Doors,KSCERATO,0,1,-1,0,38,-38,83,0.0,0.13089005235602094,0.058587727412889305,0.0
1029,CT Deep Catwalk Mid peek,KSCERATO,0,1,-1,0,100,-100,83,0.0,0.13089005235602094,0.1541782300339192,0.0
1030,Deep Palace,KSCERATO,0,1,-1,0,3,-3,83,0.0,0.13089005235602094,0.004625346901017576,0.0
1031,Triple Box,KSCERATO,0,1,-1,0,77,-77,83,0.0,0.13089005235602094,0.11871723712611779,0.0
1032,Mid Close Connector,KSCERATO,0,1,-1,0,100,-100,83,0.0,0.13089005235602094,0.1541782300339192,0.0
1033,A Site,KSCERATO,0,1,-1,0,100,-100,83,0.0,0.13089005235602094,0.1541782300339192,0.0
1034,Close Right Market Window,KSCERATO,0,1,-1,0,100,-100,83,0.0,0.13089005235602094,0.1541782300339192,0.0
1035,CT Outside Market,KSCERATO,0,1,-1,47,77,-30,83,0.0,0.13089005235602094,0.11871723712611779,0.0938217386964767
1036,Bottom Stairs,KSCERATO,0,1,-1,0,53,-53,83,0.0,0.13089005235602094,0.08171446191797718,0.0
1037,T Palace Stairs Peek,KSCERATO,0,1,-1,0,100,-100,83,0.0,0.13089005235602094,0.1541782300339192,0.0
1038,Top Mid Left Side,yuurih,0,4,-4,0,342,-342,79,0.0,0.5235602094240838,0.5272895467160037,0.0
1039,Top Connector,yuurih,0,2,-2,0,189,-189,79,0.0,0.2617801047120419,0.2913968547641073,0.0
1040,Underpass,yuurih,0,2,-2,0,200,-200,79,0.0,0.2617801047120419,0.3083564600678384,0.0
1041,Deep T Apps,yuurih,0,2,-2,0,155,-155,79,0.0,0.2617801047120419,0.2389762565525748,0.0
1042,Market Window Peek,yuurih,0,0,0,0,0,0,79,0.0,0.0,0.0,0.0
1043,Top Van,yuurih,0,1,-1,0,100,-100,79,0.0,0.13089005235602094,0.1541782300339192,0.0
1044,Leftside Connector,yuurih,0,1,-1,0,100,-100,79,0.0,0.13089005235602094,0.1541782300339192,0.0
1045,B Bombsite Cross to Catwalk,yuurih,0,1,-1,0,156,-156,79,0.0,0.13089005235602094,0.24051803885291398,0.0
1046,B Site Default Plant,yuurih,0,1,-1,0,100,-100,79,0.0,0.13089005235602094,0.1541782300339192,0.0
1047,Left Side corner deep jungle,yuurih,0,1,-1,0,100,-100,79,0.0,0.13089005235602094,0.1541782300339192,0.0
1048,A Ramp,yuurih,0,0,0,0,0,0,79,0.0,0.0,0.0,0.0
1049,CT Left Side,yuurih,0,0,0,0,0,0,79,0.0,0.0,0.0,0.0
1050,Bottom Connector,yuurih,0,1,-1,0,100,-100,79,0.0,0.13089005235602094,0.1541782300339192,0.0
1051,Mid Close Connector,yuurih,0,1,-1,0,100,-100,79,0.0,0.13089005235602094,0.1541782300339192,0.0
1052,Ticketbooth ,yuurih,1,1,0,100,52,48,79,0.18315018315018314,0.13089005235602094,0.08017267961763799,0.19962072063080147
1053,Triple Box,yuurih,0,1,-1,0,100,-100,79,0.0,0.13089005235602094,0.1541782300339192,0.0
